#L=%d, T=%.2f 
# E     M     E^2     M^2
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2032.00000000 1020.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2040.00000000 1022.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
-2048.00000000 1024.00000000 0.00000000 0.00000000
